viaje	coordenadas	completado	pais
Los 73 malditos.	-48.70727528668579, -70.07029330463519	FALSE	Argentina
Ruta 40.	-36.9670419212216, -69.79341272532803	FALSE	Argentina
Cataratas de Iguazú, Argentina.	-25.662904918305003, -54.43942261322078	FALSE	Argentina
Tierra del fuego, Ushuaia. Argentina.	-54.80877374068161, -68.29491133754343	FALSE	Argentina
La ruta de la muerte, Bolivia	-15.679972235115999, -66.32718741897824	FALSE	Bolivia
Salar de Uyuni, Bolivia.	-20.222700270224504, -67.68395724040029	FALSE	Bolivia
Desierto de Atacama, Chile	-23.863163186577587, -69.13179767906406	FALSE	Chile
Torres del Paine, Chile	-50.82981166662162, -73.0447654044376	FALSE	Chile
Carretera Austral, Chile.	-44.81078571389383, -71.8107211616966	FALSE	Chile
Bogotá, Colombia	4.710224153561965, -74.06590259015532	FALSE	Colombia
Santuario de las Lajas, Ipiales. Colombia	0.8055930593904093, -77.58550424724483	FALSE	Colombia
El trampolín de la muerte, Colombia	1.1039357682529896, -76.7295614503878	FALSE	Colombia
La mitad del mundo, Ecuador.	-0.0020297249060505975, -78.4550417920892	FALSE	Ecuador
Cañón del pato, Perú	-8.828683683427439, -77.47878868688461	FALSE	Peru
Taita Chimborazo	-1.4689585739945041, -78.81567358950394	FALSE	Ecuador
