viaje	coordenadas	completado
visitar guatape y subir la pieda del peñol	6.223771284572404, -75.17798973744503	TRUE
visitar el parque nacional natural tayrona	11.304213222358658, -74.06457681343785	FALSE
visitar caño cristales	2.2640948966758976, -73.79229152087528	FALSE
excursion en la catedral de sal de zipaquira	5.018646551134516, -74.00987418486642	FALSE
ver la estrellas en el desierto de la tatacoa	3.2316851099409765, -75.16862248622205	TRUE
visitar los cerros de mavecure	3.8663238232827566, -67.91537952460476	FALSE
visitar el parque nacional natural los nevados	4.789620750790723, -75.37639678699573	TRUE
visitar el santuario de las lajas	0.8153783078976597, -77.61318965935983	TRUE
visitar el parque del cafe	4.479804009433289, -75.74832666839045	TRUE
treking a la ciudad perdida	5.119472672740428, -74.95333134681209	FALSE
caminar la ciudad amurallada en cartagena	10.42305339903813, -75.55024621891299	FALSE
visitar las islas del rosario	10.178996896986224, -75.74324031893289	FALSE
visitar el archipielago de san bernardo y sus islas	9.692605343947172, -75.70561716948086	FALSE
subir el cerro de monserrate	4.605158822133132, -74.05526802433948	TRUE
bañarse en la cascada del fin del mundo en putumayo	1.0950775085176816, -76.63041843749158	FALSE
snorkeling en san andres y providencia	12.58691104582714, -81.70369393405156	FALSE
visitar las dunas de taroa en punta gallina	12.457189303907942, -71.66796982560719	FALSE
visitar laguna de guatavita	4.93427265065305, -73.83372304178577	FALSE
visitar el museo del oro	4.602015643689692, -74.0719841674317	TRUE
visitar el cañon del chicamocha	6.7804070196893305, -73.05495830496574	TRUE
hacer body rafting en el rio la miel en norcasia	5.587900988876936, -74.83776679383698	TRUE
visitar la quinta de san pedro alejandrino	11.228238119241833, -74.1773694738636	FALSE
visitar el salto de tequendama	4.574308430895652, -74.29361823389974	TRUE
visitar la laguna de tota	5.529340776108213, -72.93879721159782	TRUE
visitar el parque arqueologico de san agustin	1.8856320179787103, -76.29425492913605	FALSE
visitar el parque nacional natura sierra de chiribiquete	1.3733738817881915, -72.96083330990584	FALSE
dormir en un glamping	4.968919401447224, -75.34311390015773	FALSE
hacer un tour cafetero	4.662397886139301, -75.77684625224697	TRUE
ser parte de un voluntariado en una comunidad indigena	5.60879928901456, -75.61883792155979	FALSE
visitar trigana capurgana y sapzurro	8.637567811964498, -77.34636356365286	FALSE
visitar la montaña la mano del gigante en huila	2.417649492708196, -75.48923334280363	FALSE
ver ballenas en el pacifico	3.9335657846243244, -77.36552268525362	FALSE
hacer un retiro de yoga o meditacion	4.695555337777342, -75.71267761780773	FALSE
visitar salento y el valle del cocora	4.638219727089477, -75.48655283786417	TRUE
tener una experiencia en una ecoaldea	5.285588940828011, -75.47780560444468	FALSE
visita de la ciudad de popayan desde el morro de tulcan	2.4447048039829804, -76.61463103824185	FALSE
visitar barichara en santander	6.637106969156597, -73.22327973964411	TRUE
visitar el amazonas	-1.81061971958856, -70.86581120914813	FALSE
